#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score	queryItem2	queryItem
Atp2a2	Bin1	10090.ENSMUSP00000031423	10090.ENSMUSP00000025239	0	0	0	0	0.062	0.401	0	0	0.414	Bin1	Atp2a2
Atp2a2	Canx	10090.ENSMUSP00000031423	10090.ENSMUSP00000020637	0	0	0	0	0.097	0.527	0	0	0.555	Canx	Atp2a2
Atxn2l	Pabpc1	10090.ENSMUSP00000035415	10090.ENSMUSP00000001809	0	0	0	0	0.098	0.807	0	0	0.818	Pabpc1	Atxn2l
Atxn2l	Ncl	10090.ENSMUSP00000035415	10090.ENSMUSP00000027438	0	0	0	0	0.097	0.402	0	0	0.436	Ncl	Atxn2l
Atxn2l	Prrc2a	10090.ENSMUSP00000035415	10090.ENSMUSP00000025253	0	0	0	0	0.605	0.092	0	0	0.626	Prrc2a	Atxn2l
Atxn2l	G3bp2	10090.ENSMUSP00000035415	10090.ENSMUSP00000128244	0	0	0	0	0.244	0.721	0	0	0.78	G3bp2	Atxn2l
Atxn2l	Edc4	10090.ENSMUSP00000035415	10090.ENSMUSP00000039134	0	0	0	0	0.433	0	0	0	0.433	Edc4	Atxn2l
Atxn2l	Tpr	10090.ENSMUSP00000035415	10090.ENSMUSP00000117616	0	0	0	0	0.373	0.136	0	0	0.435	Tpr	Atxn2l
Atxn2l	Ncl	10090.ENSMUSP00000035415	10090.ENSMUSP00000027438	0	0	0	0	0.097	0.402	0	0	0.436	Ncl	Atxn2l
Atxn2l	Ncl	10090.ENSMUSP00000035415	10090.ENSMUSP00000027438	0	0	0	0	0.097	0.402	0	0	0.436	Ncl	Atxn2l
Bclaf1	Matr3	10090.ENSMUSP00000043583	10090.ENSMUSP00000125761	0	0	0	0	0.368	0.099	0	0	0.406	Matr3	Bclaf1
Bclaf1	Matr3	10090.ENSMUSP00000043583	10090.ENSMUSP00000125761	0	0	0	0	0.368	0.099	0	0	0.406	Matr3	Bclaf1
Bclaf1	Matr3	10090.ENSMUSP00000043583	10090.ENSMUSP00000125761	0	0	0	0	0.368	0.099	0	0	0.406	Matr3	Bclaf1
Bclaf1	Thrap3	10090.ENSMUSP00000043583	10090.ENSMUSP00000079722	0	0	0	0.802	0.199	0.733	0.54	0	0.893	Thrap3	Bclaf1
Bclaf1	Thrap3	10090.ENSMUSP00000043583	10090.ENSMUSP00000079722	0	0	0	0.802	0.199	0.733	0.54	0	0.893	Thrap3	Bclaf1
Bclaf1	Thrap3	10090.ENSMUSP00000043583	10090.ENSMUSP00000079722	0	0	0	0.802	0.199	0.733	0.54	0	0.893	Thrap3	Bclaf1
Bclaf1	Prpf40a	10090.ENSMUSP00000043583	10090.ENSMUSP00000075655	0	0	0	0	0.63	0	0	0	0.63	Prpf40a	Bclaf1
Bclaf1	Prpf40a	10090.ENSMUSP00000043583	10090.ENSMUSP00000075655	0	0	0	0	0.63	0	0	0	0.63	Prpf40a	Bclaf1
Bclaf1	Prpf40a	10090.ENSMUSP00000043583	10090.ENSMUSP00000075655	0	0	0	0	0.63	0	0	0	0.63	Prpf40a	Bclaf1
Bclaf1	Pnn	10090.ENSMUSP00000043583	10090.ENSMUSP00000021381	0	0	0	0	0.388	0.406	0	0	0.621	Pnn	Bclaf1
Bclaf1	Pnn	10090.ENSMUSP00000043583	10090.ENSMUSP00000021381	0	0	0	0	0.388	0.406	0	0	0.621	Pnn	Bclaf1
Bclaf1	Pnn	10090.ENSMUSP00000043583	10090.ENSMUSP00000021381	0	0	0	0	0.388	0.406	0	0	0.621	Pnn	Bclaf1
Bin1	Synm	10090.ENSMUSP00000025239	10090.ENSMUSP00000073855	0	0	0	0	0.057	0.649	0	0	0.655	Synm	Bin1
